Title,Concept,Difficulty,Acceptance,LeetCode Link
Find the Longest Substring Containing Vowels in Even Counts,Trees,Medium,55.60%,https://leetcode.com/problems/find-the-longest-substring-containing-vowels-in-even-counts/
Longest ZigZag Path in a Binary Tree,Trees,Medium,52.20%,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree/
Maximum Sum BST in Binary Tree,Two Pointers,Hard,44.10%,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree/
Maximum Performance of a Team,1-D Dynamic Programming,Hard,30.10%,https://leetcode.com/problems/maximum-performance-of-a-team/
Longest Happy Prefix,1-D Dynamic Programming,Hard,38.70%,https://leetcode.com/problems/longest-happy-prefix/
Longest Happy String,1-D Dynamic Programming,Medium,44.00%,https://leetcode.com/problems/longest-happy-string/
Longest Substring Without Repeating Characters,Trees,Medium,29.80%,https://leetcode.com/problems/longest-substring-without-repeating-characters/
Maximum Subarray,Arrays & Hashing,Easy,45.90%,https://leetcode.com/problems/maximum-subarray/
Decode Ways,1-D Dynamic Programming,Medium,23.90%,https://leetcode.com/problems/decode-ways/
Maximum Depth of Binary Tree,Trees,Easy,64.50%,https://leetcode.com/problems/maximum-depth-of-binary-tree/
Binary Tree Maximum Path Sum,Two Pointers,Hard,32.60%,https://leetcode.com/problems/binary-tree-maximum-path-sum/
Maximum Depth of N-ary Tree,Trees,Easy,67.70%,https://leetcode.com/problems/maximum-depth-of-n-ary-tree/
Longest Harmonious Subsequence,1-D Dynamic Programming,Easy,45.70%,https://leetcode.com/problems/longest-harmonious-subsequence/
Maximum Average Subarray I,Arrays & Hashing,Easy,41.00%,https://leetcode.com/problems/maximum-average-subarray-i/
Maximum Binary Tree,Trees,Medium,78.70%,https://leetcode.com/problems/maximum-binary-tree/
Longest Univalue Path,1-D Dynamic Programming,Easy,35.40%,https://leetcode.com/problems/longest-univalue-path/
Max Area of Island,Graphs,Medium,61.00%,https://leetcode.com/problems/max-area-of-island/
Longest Common Subsequence,1-D Dynamic Programming,Medium,57.90%,https://leetcode.com/problems/longest-common-subsequence/
Maximum Length of a Concatenated String with Unique Characters,1-D Dynamic Programming,Medium,46.00%,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters/
Spiral Matrix,2-D Dynamic Programming,Medium,33.00%,https://leetcode.com/problems/spiral-matrix/
Spiral Matrix II,2-D Dynamic Programming,Medium,51.90%,https://leetcode.com/problems/spiral-matrix-ii/
Set Matrix Zeroes,2-D Dynamic Programming,Medium,42.30%,https://leetcode.com/problems/set-matrix-zeroes/
Search a 2D Matrix,Binary Search,Medium,36.00%,https://leetcode.com/problems/search-a-2d-matrix/
Search a 2D Matrix II,Binary Search,Medium,42.50%,https://leetcode.com/problems/search-a-2d-matrix-ii/
Sparse Matrix Multiplication,2-D Dynamic Programming,Medium,59.80%,https://leetcode.com/problems/sparse-matrix-multiplication/
Kth Smallest Element in a Sorted Matrix,Arrays & Hashing,Medium,52.70%,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
Random Flip Matrix,2-D Dynamic Programming,Medium,35.70%,https://leetcode.com/problems/random-flip-matrix/
01 Matrix,2-D Dynamic Programming,Medium,38.70%,https://leetcode.com/problems/01-matrix/
Logical OR of Two Binary Grids Represented as Quad-Trees,Two Pointers,Medium,43.80%,https://leetcode.com/problems/logical-or-of-two-binary-grids-represented-as-quad-trees/
Reshape the Matrix,2-D Dynamic Programming,Easy,60.00%,https://leetcode.com/problems/reshape-the-matrix/
Pyramid Transition Matrix,2-D Dynamic Programming,Medium,54.00%,https://leetcode.com/problems/pyramid-transition-matrix/
Toeplitz Matrix,2-D Dynamic Programming,Easy,63.90%,https://leetcode.com/problems/toeplitz-matrix/
Magic Squares In Grid,2-D Dynamic Programming,Easy,36.70%,https://leetcode.com/problems/magic-squares-in-grid/
Score After Flipping Matrix,2-D Dynamic Programming,Medium,71.60%,https://leetcode.com/problems/score-after-flipping-matrix/
Transpose Matrix,2-D Dynamic Programming,Easy,63.20%,https://leetcode.com/problems/transpose-matrix/
Spiral Matrix III,2-D Dynamic Programming,Medium,68.20%,https://leetcode.com/problems/spiral-matrix-iii/
Grid Illumination,2-D Dynamic Programming,Hard,35.50%,https://leetcode.com/problems/grid-illumination/
Matrix Cells in Distance Order,2-D Dynamic Programming,Easy,65.10%,https://leetcode.com/problems/matrix-cells-in-distance-order/
Shortest Path in Binary Matrix,Trees,Medium,37.40%,https://leetcode.com/problems/shortest-path-in-binary-matrix/
Cells with Odd Values in a Matrix,2-D Dynamic Programming,Easy,78.00%,https://leetcode.com/problems/cells-with-odd-values-in-a-matrix/
Reconstruct a 2-Row Binary Matrix,Trees,Medium,39.30%,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix/
Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,Trees,Hard,69.00%,https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix/
Shortest Path in a Grid with Obstacles Elimination,Trees,Hard,42.20%,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/
Matrix Block Sum,Two Pointers,Medium,72.40%,https://leetcode.com/problems/matrix-block-sum/
Sort the Matrix Diagonally,2-D Dynamic Programming,Medium,77.70%,https://leetcode.com/problems/sort-the-matrix-diagonally/
The K Weakest Rows in a Matrix,2-D Dynamic Programming,Easy,68.60%,https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix/
Count Negative Numbers in a Sorted Matrix,Arrays & Hashing,Easy,77.80%,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix/
Minimum Cost to Make at Least One Valid Path in a Grid,2-D Dynamic Programming,Hard,52.10%,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid/
Lucky Numbers in a Matrix,2-D Dynamic Programming,Easy,72.70%,https://leetcode.com/problems/lucky-numbers-in-a-matrix/
Check if There is a Valid Path in a Grid,2-D Dynamic Programming,Medium,44.70%,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid/
Shift 2D Grid,2-D Dynamic Programming,Easy,61.10%,https://leetcode.com/problems/shift-2d-grid/
Critical Connections in a Network,Two Pointers,Hard,48.70%,https://leetcode.com/problems/critical-connections-in-a-network/
Number of Operations to Make Network Connected,Two Pointers,Medium,51.10%,https://leetcode.com/problems/number-of-operations-to-make-network-connected/
Network Delay Time,Two Pointers,Medium,45.40%,https://leetcode.com/problems/network-delay-time/
Median of Two Sorted Arrays,Two Pointers,Hard,28.70%,https://leetcode.com/problems/median-of-two-sorted-arrays/
Next Permutation,Arrays & Hashing,Medium,31.90%,https://leetcode.com/problems/next-permutation/
Find First and Last Position of Element in Sorted Array,Arrays & Hashing,Medium,35.30%,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
Permutations,Arrays & Hashing,Medium,61.10%,https://leetcode.com/problems/permutations/
Permutations II,Arrays & Hashing,Medium,44.70%,https://leetcode.com/problems/permutations-ii/
Rotate Image,Arrays & Hashing,Medium,54.20%,https://leetcode.com/problems/rotate-image/
Permutation Sequence,Arrays & Hashing,Medium,35.60%,https://leetcode.com/problems/permutation-sequence/
Remove Duplicates from Sorted Array II,Two Pointers,Medium,42.90%,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/
Search in Rotated Sorted Array II,Binary Search,Medium,33.00%,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/
Remove Duplicates from Sorted List II,Two Pointers,Medium,35.70%,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/
Remove Duplicates from Sorted List,Two Pointers,Easy,44.60%,https://leetcode.com/problems/remove-duplicates-from-sorted-list/
Convert Sorted List to Binary Search Tree,Trees,Medium,45.60%,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/
Find Minimum in Rotated Sorted Array,Arrays & Hashing,Medium,44.30%,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
Find Minimum in Rotated Sorted Array II,Arrays & Hashing,Hard,40.30%,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/
Two Sum II - Input array is sorted,Two Pointers,Easy,52.90%,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/
Minimum Size Subarray Sum,Two Pointers,Medium,37.00%,https://leetcode.com/problems/minimum-size-subarray-sum/
Product of Array Except Self,Arrays & Hashing,Medium,59.10%,https://leetcode.com/problems/product-of-array-except-self/
Palindrome Permutation,Arrays & Hashing,Easy,61.30%,https://leetcode.com/problems/palindrome-permutation/
Palindrome Permutation II,Arrays & Hashing,Medium,35.60%,https://leetcode.com/problems/palindrome-permutation-ii/
Patching Array,Arrays & Hashing,Hard,34.20%,https://leetcode.com/problems/patching-array/
Intersection of Two Arrays,Two Pointers,Easy,60.20%,https://leetcode.com/problems/intersection-of-two-arrays/
Intersection of Two Arrays II,Two Pointers,Easy,50.60%,https://leetcode.com/problems/intersection-of-two-arrays-ii/
Sort Transformed Array,Arrays & Hashing,Medium,48.30%,https://leetcode.com/problems/sort-transformed-array/
Shuffle an Array,Arrays & Hashing,Medium,52.10%,https://leetcode.com/problems/shuffle-an-array/
Rotate Function,Arrays & Hashing,Medium,36.00%,https://leetcode.com/problems/rotate-function/
Split Array Largest Sum,Two Pointers,Hard,43.80%,https://leetcode.com/problems/split-array-largest-sum/
Convert Binary Search Tree to Sorted Doubly Linked List,Trees,Medium,57.50%,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list/
Find All Duplicates in an Array,Two Pointers,Medium,64.50%,https://leetcode.com/problems/find-all-duplicates-in-an-array/
Find All Numbers Disappeared in an Array,Arrays & Hashing,Easy,55.40%,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/
Minimum Moves to Equal Array Elements,Arrays & Hashing,Easy,49.80%,https://leetcode.com/problems/minimum-moves-to-equal-array-elements/
Circular Array Loop,Arrays & Hashing,Medium,28.80%,https://leetcode.com/problems/circular-array-loop/
Minimum Moves to Equal Array Elements II,Arrays & Hashing,Medium,53.30%,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii/
Find Permutation,Arrays & Hashing,Medium,59.80%,https://leetcode.com/problems/find-permutation/
Continuous Subarray Sum,Two Pointers,Medium,24.50%,https://leetcode.com/problems/continuous-subarray-sum/
Contiguous Array,Arrays & Hashing,Medium,44.90%,https://leetcode.com/problems/contiguous-array/
K-diff Pairs in an Array,Arrays & Hashing,Easy,31.00%,https://leetcode.com/problems/k-diff-pairs-in-an-array/
Single Element in a Sorted Array,Arrays & Hashing,Medium,57.70%,https://leetcode.com/problems/single-element-in-a-sorted-array/
Split Array with Equal Sum,Two Pointers,Medium,44.70%,https://leetcode.com/problems/split-array-with-equal-sum/
Array Partition I,Arrays & Hashing,Easy,71.20%,https://leetcode.com/problems/array-partition-i/
Array Nesting,Arrays & Hashing,Medium,54.90%,https://leetcode.com/problems/array-nesting/
Permutation in String,Arrays & Hashing,Medium,40.40%,https://leetcode.com/problems/permutation-in-string/
Shortest Unsorted Continuous Subarray,Arrays & Hashing,Easy,30.80%,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/
K Inverse Pairs Array,Arrays & Hashing,Hard,30.60%,https://leetcode.com/problems/k-inverse-pairs-array/
Find the Derangement of An Array,Arrays & Hashing,Medium,39.80%,https://leetcode.com/problems/find-the-derangement-of-an-array/
Split Array into Consecutive Subsequences,Arrays & Hashing,Medium,42.90%,https://leetcode.com/problems/split-array-into-consecutive-subsequences/
Non-decreasing Array,Arrays & Hashing,Easy,19.40%,https://leetcode.com/problems/non-decreasing-array/
Degree of an Array,Arrays & Hashing,Easy,53.20%,https://leetcode.com/problems/degree-of-an-array/
Search in a Sorted Array of Unknown Size,Binary Search,Medium,64.50%,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/
Insert into a Sorted Circular Linked List,Linked List,Medium,31.20%,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/
Letter Case Permutation,Arrays & Hashing,Easy,62.40%,https://leetcode.com/problems/letter-case-permutation/
Rotated Digits,Arrays & Hashing,Easy,56.70%,https://leetcode.com/problems/rotated-digits/
Rotate String,Arrays & Hashing,Easy,49.50%,https://leetcode.com/problems/rotate-string/
Split Array With Same Average,Arrays & Hashing,Hard,26.10%,https://leetcode.com/problems/split-array-with-same-average/
Split Array into Fibonacci Sequence,Arrays & Hashing,Medium,35.80%,https://leetcode.com/problems/split-array-into-fibonacci-sequence/
Peak Index in a Mountain Array,Arrays & Hashing,Easy,71.00%,https://leetcode.com/problems/peak-index-in-a-mountain-array/
Shortest Subarray with Sum at Least K,Two Pointers,Hard,23.50%,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/
Monotonic Array,Arrays & Hashing,Easy,56.90%,https://leetcode.com/problems/monotonic-array/
Bitwise ORs of Subarrays,Bit Manipulation,Medium,36.30%,https://leetcode.com/problems/bitwise-ors-of-subarrays/
Valid Permutations for DI Sequence,Arrays & Hashing,Hard,48.80%,https://leetcode.com/problems/valid-permutations-for-di-sequence/
Sort Array By Parity,Arrays & Hashing,Easy,73.90%,https://leetcode.com/problems/sort-array-by-parity/
Sum of Subarray Minimums,Two Pointers,Medium,30.90%,https://leetcode.com/problems/sum-of-subarray-minimums/
Partition Array into Disjoint Intervals,Intervals,Medium,44.70%,https://leetcode.com/problems/partition-array-into-disjoint-intervals/
Sort Array By Parity II,Arrays & Hashing,Easy,68.30%,https://leetcode.com/problems/sort-array-by-parity-ii/
Binary Subarrays With Sum,Two Pointers,Medium,41.30%,https://leetcode.com/problems/binary-subarrays-with-sum/
Beautiful Array,Arrays & Hashing,Medium,57.00%,https://leetcode.com/problems/beautiful-array/
Delete Columns to Make Sorted,Arrays & Hashing,Easy,70.00%,https://leetcode.com/problems/delete-columns-to-make-sorted/
Minimum Increment to Make Array Unique,Arrays & Hashing,Medium,45.60%,https://leetcode.com/problems/minimum-increment-to-make-array-unique/
Array of Doubled Pairs,Arrays & Hashing,Medium,35.40%,https://leetcode.com/problems/array-of-doubled-pairs/
Delete Columns to Make Sorted II,Arrays & Hashing,Medium,32.70%,https://leetcode.com/problems/delete-columns-to-make-sorted-ii/
Delete Columns to Make Sorted III,Arrays & Hashing,Hard,53.90%,https://leetcode.com/problems/delete-columns-to-make-sorted-iii/
N-Repeated Element in Size 2N Array,Arrays & Hashing,Easy,73.20%,https://leetcode.com/problems/n-repeated-element-in-size-2n-array/
Add to Array-Form of Integer,Math & Geometry,Easy,44.10%,https://leetcode.com/problems/add-to-array-form-of-integer/
Subarrays with K Different Integers,Math & Geometry,Hard,46.50%,https://leetcode.com/problems/subarrays-with-k-different-integers/
Number of Squareful Arrays,Arrays & Hashing,Hard,47.90%,https://leetcode.com/problems/number-of-squareful-arrays/
Partition Array Into Three Parts With Equal Sum,Two Pointers,Easy,55.70%,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum/
Previous Permutation With One Swap,Arrays & Hashing,Medium,48.00%,https://leetcode.com/problems/previous-permutation-with-one-swap/
Missing Element in Sorted Array,Arrays & Hashing,Medium,54.50%,https://leetcode.com/problems/missing-element-in-sorted-array/
Number of Valid Subarrays,Arrays & Hashing,Hard,70.10%,https://leetcode.com/problems/number-of-valid-subarrays/
Find in Mountain Array,Arrays & Hashing,Hard,35.60%,https://leetcode.com/problems/find-in-mountain-array/
Divide Array Into Increasing Sequences,Arrays & Hashing,Hard,56.40%,https://leetcode.com/problems/divide-array-into-increasing-sequences/
Relative Sort Array,Arrays & Hashing,Easy,67.30%,https://leetcode.com/problems/relative-sort-array/
Decrease Elements To Make Array Zigzag,Arrays & Hashing,Medium,44.70%,https://leetcode.com/problems/decrease-elements-to-make-array-zigzag/
Snapshot Array,Arrays & Hashing,Medium,36.00%,https://leetcode.com/problems/snapshot-array/
